year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,owner_category,price_category,Cluster
2014,450000,1.1696775983069588e+21,1,Individual,1.7419696747025504,First Owner,18924.239441698675,883043671730.7094,30269613.345316812,1,1,4
2014,370000,9.64684341830991e+20,1,Individual,1.7419696747025504,Second Owner,17413.15224990928,1059521240748.518,41907169.0411291,2,1,9
2006,158000,1.1254633665180247e+21,2,Individual,1.7419696747025504,Third Owner,15113.090329663462,1058815330472.4467,31846517.91114503,2,1,2
2010,225000,1.0209570004714527e+21,1,Individual,1.7419696747025504,First Owner,18656.790381204977,987518392589.252,36577231.6086297,1,1,9
2007,130000,9.64684341830991e+20,2,Individual,1.7419696747025504,First Owner,14043.294087688666,918339185534.2711,35867624.554007,1,1,2
2017,440000,3.61762999254615e+20,2,Individual,1.7419696747025504,First Owner,16744.529598675028,847042247651.0764,33368230.817169268,1,1,6
2007,96000,1.4068266597203336e+21,4,Individual,1.7419696747025504,First Owner,14845.641269169762,751038450105.3885,23764882.01127539,1,1,6
2001,45000,4.020494988054784e+19,2,Individual,1.7419696747025504,Second Owner,14043.294087688666,563972226946.5116,15683246.111405745,2,1,0
2011,350000,7.235158048004406e+20,1,Individual,1.7419696747025504,First Owner,19051.277745433184,964929263754.9725,27549452.96926312,1,1,4
2013,200000,1.3585929523142234e+21,1,Individual,1.7419696747025504,First Owner,16650.922427502235,989636123417.4658,27943679.110720176,1,1,6
2014,500000,5.4665887764470366e+20,1,Individual,1.7419696747025504,Second Owner,15988.986002780326,1033402560533.8823,43850703.91851239,2,1,2
2005,92000,8.039053171439575e+20,2,Individual,1.7419696747025504,Second Owner,14845.641269169762,703036551332.5447,24750447.36491803,2,1,6
2009,280000,1.1254633665180247e+21,1,Individual,1.7419696747025504,Second Owner,16182.886571638259,883043671730.7094,30230190.73117111,2,1,6
2007,200000,6.431262924569239e+20,2,Individual,1.7419696747025504,Second Owner,15915.437511144559,883043671730.7094,30269613.345316812,2,1,6
2009,180000,7.235158048004406e+20,2,Individual,1.7419696747025504,Second Owner,15915.437511144559,751038450105.3885,27510030.355117418,2,1,6
2016,400000,3.215682430828566e+20,2,Individual,1.7419696747025504,First Owner,15413.970522718875,847748157927.1477,33423422.476973258,1,1,6
2016,778000,5.6273678011340705e+20,1,Individual,1.7419696747025504,Second Owner,19673.096811081035,883043671730.7094,35985892.39644412,2,2,4
2012,500000,4.260746091294285e+20,1,Individual,1.7419696747025504,Second Owner,18656.790381204977,987518392589.252,36577231.6086297,2,1,9
2002,150000,6.431262924569239e+20,2,Individual,1.7419696747025504,Second Owner,16450.33563213196,563972226946.5116,19349549.226956364,2,1,0
2016,680000,8.039053171439575e+20,1,Individual,1.7419696747025504,First Owner,18349.223961637224,987518392589.252,36076564.408979245,1,2,9
2011,174000,8.039053171439575e+20,1,Individual,1.7419696747025504,Second Owner,17319.54507873648,1033402560533.8823,26366774.544891957,2,1,9
2017,950000,4.0195775542637344e+20,1,Individual,1.7419696747025504,First Owner,20328.3470092906,1059521240748.518,39967576.425160386,1,2,9
2015,525000,3.215682430828566e+20,1,Individual,1.7419696747025504,First Owner,21057.14569913593,883043671730.7094,30269613.345316812,1,2,4
2012,600000,5.788146825821104e+20,1,Individual,1.7419696747025504,First Owner,17653.856404353606,883043671730.7094,36104160.23888123,1,2,6
2018,500000,2.8137348691109822e+20,2,Individual,1.7419696747025504,First Owner,16851.509222872508,848454068203.2189,34136971.793010525,1,1,6
2016,575000,3.61762999254615e+20,2,Individual,1.7419696747025504,First Owner,17586.99413923018,847042247651.0764,33857071.23257602,1,2,6
2017,275000,2.2510082827063643e+20,2,Individual,1.7419696747025504,First Owner,19793.4488883032,563972226946.5116,19743775.36841342,1,1,0
2013,300000,5.6273678011340705e+20,1,Individual,1.7419696747025504,First Owner,15447.401655280588,883043671730.7094,30190768.117025398,1,1,6
2009,220000,9.64684341830991e+20,2,Individual,1.7419696747025504,First Owner,15915.437511144559,751038450105.3885,27510030.355117418,1,1,6
2018,254999,2.0098397456758142e+20,2,Individual,1.7419696747025504,First Owner,14511.329943552642,563972226946.5116,14579412.915325988,1,1,0
2017,670000,5.6273678011340705e+20,1,Individual,1.7419696747025504,First Owner,19525.9998278095,883043671730.7094,35985892.39644412,1,2,4
2003,70000,4.0195775542637344e+20,2,Individual,1.7419696747025504,Second Owner,15915.437511144559,883043671730.7094,30269613.345316812,2,1,6
2012,150000,2.8137348691109822e+20,2,Individual,1.7419696747025504,Second Owner,12639.186520096744,563972226946.5116,14894793.828491632,2,1,0
2018,730000,1.920720925642124e+19,2,Individual,1.7419696747025504,First Owner,15714.850715774288,847042247651.0764,33356404.032925557,1,2,6
